SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
040,09,000,00000,00000,00000,0,A,Connecticut,Connecticut,3574097,3574114,3580171,3591927,3597705,3602470,3600188,3593862,3587685,3588184
162,09,000,01150,00000,00000,0,A,Ansonia city,Connecticut,19249,19251,19254,19227,19221,19100,19052,18949,18850,18813
162,09,000,02690,00000,00000,0,A,Bantam borough,Connecticut,759,759,758,756,750,749,744,740,734,731
162,09,000,08000,00000,00000,0,A,Bridgeport city,Connecticut,144229,144236,144923,146363,147288,148168,148225,147890,147016,146579
162,09,000,08420,00000,00000,0,A,Bristol city,Connecticut,60477,60474,60497,60638,60697,60683,60666,60599,60380,60223
162,09,000,18430,00000,00000,0,A,Danbury city,Connecticut,80893,80903,81355,82222,82899,83852,83908,84500,85385,85246
162,09,000,18780,00000,00000,0,A,Danielson borough,Connecticut,4051,4051,4053,4052,4033,4024,4002,3989,3974,3997
162,09,000,19480,00000,00000,0,A,Derby city,Connecticut,12902,12900,12906,12869,12875,12855,12814,12652,12602,12581
162,09,000,27810,00000,00000,0,A,Fenwick borough,Connecticut,43,43,43,43,43,43,43,43,44,44
162,09,000,34180,00000,00000,0,A,Groton city,Connecticut,10389,9389,9381,9350,9360,9313,9255,9172,9118,9092
162,09,000,34460,00000,00000,0,A,Groton Long Point borough,Connecticut,518,518,518,518,519,517,517,513,510,511
162,09,000,37000,00000,00000,0,A,Hartford city,Connecticut,124775,124775,125403,125572,125399,125420,124863,124510,123853,123400
162,09,000,39940,00000,00000,0,A,Jewett City borough,Connecticut,3487,3487,3488,3487,3495,3479,3459,3433,3414,3408
162,09,000,43300,00000,00000,0,A,Litchfield borough,Connecticut,1258,1258,1257,1247,1241,1240,1231,1230,1213,1209
162,09,000,46450,00000,00000,0,A,Meriden city,Connecticut,60868,60855,60879,60792,60756,60649,60509,60207,59898,59927
162,09,000,47290,00000,00000,0,A,Middletown city,Connecticut,47648,47648,47645,47764,47391,47162,46936,46578,46556,46478
162,09,000,47515,00000,00000,0,F,Milford city (balance),Connecticut,51271,51271,51325,51438,51607,51775,52061,52235,52685,52970
162,09,000,49880,00000,00000,0,A,Naugatuck borough,Connecticut,31862,31884,31893,31863,31862,31833,31768,31638,31502,31461
162,09,000,50370,00000,00000,0,A,New Britain city,Connecticut,73206,73202,73273,73348,73288,73218,73162,73322,72923,72710
162,09,000,52000,00000,00000,0,A,New Haven city,Connecticut,129779,129890,129853,130982,131247,131181,130797,130616,130768,131014
162,09,000,52280,00000,00000,0,A,New London city,Connecticut,27620,27620,27617,27640,27584,27390,27244,27075,27087,27072
162,09,000,52910,00000,00000,0,A,Newtown borough,Connecticut,1941,1934,1937,1956,1970,1976,1972,1969,1964,1965
162,09,000,55990,00000,00000,0,A,Norwalk city,Connecticut,85603,85619,86009,86759,87386,88012,88251,88550,88904,89005
162,09,000,56200,00000,00000,0,A,Norwich city,Connecticut,40493,40496,40551,40495,40537,40375,40154,39836,39578,39470
162,09,000,68100,00000,00000,0,A,Shelton city,Connecticut,39559,39559,39629,40017,40298,41054,41256,41230,41456,41397
162,09,000,73000,00000,00000,0,A,Stamford city,Connecticut,122643,122630,122839,124182,125222,126708,128277,128794,129654,130824
162,09,000,73700,00000,00000,0,A,Stonington borough,Connecticut,929,929,928,925,928,921,915,906,901,898
162,09,000,76500,00000,00000,0,A,Torrington city,Connecticut,36383,36383,36352,36153,35824,35647,35355,35070,34774,34538
162,09,000,80000,00000,00000,0,A,Waterbury city,Connecticut,110366,110332,110403,110207,110139,109980,109708,109190,108750,108629
162,09,000,82800,00000,00000,0,A,West Haven city,Connecticut,55564,55564,55584,55563,55331,55240,55367,54967,54774,54843
162,09,000,88050,00000,00000,0,A,Woodmont borough,Connecticut,1488,1488,1490,1492,1497,1502,1511,1515,1531,1538
170,09,000,00000,00000,47500,0,A,Milford city,Connecticut,52759,52759,52815,52930,53104,53277,53572,53750,54216,54508
172,09,000,47515,00000,47500,0,F,Milford city (balance),Connecticut,51271,51271,51325,51438,51607,51775,52061,52235,52685,52970
172,09,000,88050,00000,47500,0,A,Woodmont borough,Connecticut,1488,1488,1490,1492,1497,1502,1511,1515,1531,1538
050,09,001,00000,00000,00000,0,N,Fairfield County,Connecticut,916829,916846,919749,929398,936345,942865,946547,948116,949191,949921
157,09,001,08000,00000,00000,0,A,Bridgeport city,Connecticut,144229,144236,144923,146363,147288,148168,148225,147890,147016,146579
